GPUDIRECT TESTS:\n\n
Size 1
STD: 9.193441e-05
LOC: 6.085126e-08
LANE: 2.634306e-08
Size 2
STD: 9.111694e-05
LOC: 6.067040e-08
LANE: 2.647299e-08
Size 4
STD: 8.955157e-05
LOC: 1.597983e-04
LANE: 1.143978e-04
Size 8
STD: 8.925286e-05
LOC: 1.554655e-04
LANE: 1.132497e-04
Size 16
STD: 9.000575e-05
LOC: 1.561240e-04
LANE: 1.130762e-04
Size 32
STD: 9.121733e-05
LOC: 1.558128e-04
LANE: 1.132923e-04
Size 64
STD: 9.152453e-05
LOC: 1.563345e-04
LANE: 1.139571e-04
Size 128
STD: 9.338345e-05
LOC: 1.573509e-04
LANE: 1.149969e-04
Size 256
STD: 1.281915e-04
LOC: 1.497981e-04
LANE: 1.065418e-04
Size 512
STD: 1.323433e-04
LOC: 1.725082e-04
LANE: 1.087973e-04
Size 1024
STD: 2.382896e-04
LOC: 1.938590e-04
LANE: 1.497455e-04
Size 2048
STD: 2.408471e-04
LOC: 1.970423e-04
LANE: 1.502405e-04
Size 4096
STD: 2.474049e-04
LOC: 2.538566e-04
LANE: 2.412291e-04
Size 8192
STD: 2.525432e-04
LOC: 2.623215e-04
LANE: 2.482254e-04
Size 16384
STD: 2.749377e-04
LOC: 2.785023e-04
LANE: 2.554958e-04
Size 32768
STD: 1.033652e-02
LOC: 2.977656e-04
LANE: 2.647458e-04
Size 65536
STD: 1.060191e-02
LOC: 3.613154e-04
LANE: 3.005167e-04
Size 131072
STD: 1.053867e-02
LOC: 1.076334e-02
LANE: 1.029392e-02
Size 262144
STD: 1.031939e-02
LOC: 1.055365e-02
LANE: 1.023802e-02
Size 524288
STD: 1.032408e-02
LOC: 1.067276e-02
LANE: 1.025382e-02
Size 1048576
STD: 1.035801e-02
LOC: 1.084333e-02
LANE: 1.030846e-02
Size 2097152
STD: 1.047478e-02
LOC: 2.502092e-02
LANE: 1.038652e-02
Size 4194304
STD: 2.089287e-02
LOC: 3.430057e-02
LANE: 1.042938e-02
Size 8388608
STD: 4.190531e-02
LOC: 7.209948e-02
LANE: 1.088144e-02
Size 16777216
STD: 8.597622e-02
LOC: 9.712632e-02
LANE: 2.170934e-02
Size 33554432
STD: 1.708773e-01
LOC: 1.990574e-01
LANE: 4.188148e-02
Size 67108864
STD: 3.353253e-01
LOC: 3.922921e-01
LANE: 8.488776e-02
Size 134217728
STD: 6.736931e-01
LOC: 7.917867e-01
LANE: 1.665657e-01
Size 268435456
STD: 1.342241e+00
LOC: 1.529086e+00
LANE: 3.430183e-01
Size 536870912
STD: 2.697409e+00
LOC: 8.952822e+00
LANE: 6.679659e-01


MPICH Slingshot Network Summary: 0 network timeouts

